[00:00:00.000]  Hi, welcome back to Eat Your Crust Podcast. I'm Jeesoo and I'm Crystal.
[00:38:51.960]  I guess kind of along the lines of parenthood I think having a family and the concept of
[00:39:01.160]  family has also evolved across multiple generations so do you think the idea of a family
[00:39:07.160]  and the idea of parenthood has changed from our parents generation to ours um I feel like having kids
[00:39:16.120]  is such a given in my parents generation and previous generations it's like such a it's not even
[00:39:24.280]  a question it's like this is just a part of life like you get married and have kids but I guess
[00:39:30.760]  like in our generation more and more people are starting to think about whether they even want
[00:39:36.120]  to have kids right whether that's something you know they want in their lives but I feel like at
[00:39:41.720]  the same time some people experience pressure from their parents like oh can't wait till I have
[00:39:46.680]  that grand kid and then we're like um I don't know if I want to have kids yeah I feel like it's a very
[00:39:53.640]  common conversation topic actually especially like for girl talks or talks with our girlfriends right
[00:39:59.080]  it's like I definitely think I've heard it a lot where people are like I'm not sure if I want to
[00:40:04.840]  have kids if I do it's like maybe one maximum two versus I know in our parents generation
[00:40:11.800]  I feel like two was almost the standard back then yeah yeah I feel like there's a good amount of
[00:40:16.920]  people who have at least one sibling and I also wonder maybe it's because when people immigrated
[00:40:23.240]  out of China because one kid policy was going on back then they're like hey we're in America we might
[00:40:29.160]  as well have two children they're like well we moved all the way here yeah it's like the one child
[00:40:34.840]  policy is it's not out here so you know I mean I think even when it was my parents generation like both
[00:40:41.640]  of my parents have at least three siblings um my mom has four and I feel like for them having one
[00:40:48.760]  kid or two was already pairing down the number significantly that's already like a huge reduction
[00:40:54.200]  but honestly when the standard is two or one you can only go down to zero or one from their true
[00:41:02.920]  very very true the perception I have is that a lot of moms were relatively willing to just give up
[00:41:10.600]  their career and you know have a kid and take care of that kid because a lot of immigrant families
[00:41:17.720]  aren't rich so it's pretty hard to get a nanny and so it was kind of the norm I guess or maybe
[00:41:25.160]  very accepted slash natural for the man to become the breadwinner and then the woman becomes the
[00:41:32.840]  child care and nowadays like in our generation a lot more people want to have a career so I feel
[00:41:40.120]  like that is also maybe a difference because it's like oh shoot if I have a kid then you know that's
[00:41:45.160]  like almost a half a year of leave from my career and then I don't know like how that'll affect my
[00:41:53.000]  career path and all that kind of stuff so I feel like that's probably another factor yeah I think
[00:41:59.160]  like there's probably a lot of stuff that goes into this attitude change for sure so like
[00:42:04.840]  I wonder now in the US is it even possible to raise a kid comfortably like financially when
[00:42:11.640]  you don't have a double income stream or something like I know back in the day things like homes
[00:42:16.600]  were significantly more affordable like still not cheap right but just not like the $1 million plus
[00:42:23.000]  colossal cost that it is now so then I feel like just the logistics have changed a ton and yeah
[00:42:30.040]  I feel like in my parents' generation being a stay at home mom was super common but I'm not sure
[00:42:34.120]  how common it is anymore and then on top of that you add in the whole like complication of immigration
[00:42:40.440]  where you know if I would have a kid now there's family here that could kind of help with the
[00:42:45.320]  child rearing but for my parents unless my grandma was here visiting it was truly like them to
[00:42:51.720]  who had to take care of me or stay care which is another added expense so I can't imagine how it
[00:42:57.560]  was for them back then yeah really good point dude actually my brother who was born first um
[00:43:05.240]  why'd you really eyes um no reason but when he was born I think both my parents were still in school
[00:43:16.520]  so they were like oh it's gonna be like really difficult to raise him so they actually sent him
[00:43:22.600]  back to China wow to live with my grandparents for I think it was about a year maybe two some
[00:43:30.280]  amount of time between a year and two years and then I think my dad finished school so then they
[00:43:36.200]  brought my brother back because it was like okay now someone can work and we can actually support
[00:43:40.520]  this child but yeah I guess like that's what my parents managed to do but I know like sometimes
[00:43:46.680]  people will straight up just immigrate their parents too like the you know the grandparents over
[00:43:51.960]  to the US too and then they just live with the family and then some of these kids grow up like
[00:43:57.800]  essentially getting raised by their grandparents because their parents had to go out and work to
[00:44:02.120]  support the family yeah I think that's probably pretty similar to what James says childhood was like
[00:44:08.440]  where his grandma was definitely a huge factor in like helping raise him while his parents were
[00:44:13.160]  both working so yeah I feel like that's also another option as well but you're right like luckily
[00:44:20.040]  now that you know we're already immigrated here it's a little easier to be able to reach out to
[00:44:28.520]  family and be like hey can you babysit this weekend or something like that right dude and I've
[00:44:35.880]  been having some crazy thoughts lately like I saw that other day some vague tick talk about how
[00:44:40.760]  equinox had some sort of daycare system were like some sort of play area for the kids while the
[00:44:46.600]  parents worked out and I was like is this free daycare like should I just get it equinox membership
[00:44:53.560]  like oh I see that's how they get you yeah even now getting a babysitter is not cheap especially if
[00:45:02.440]  they're working during the work days when the parents are at work I feel like if anything now
[00:45:09.000]  businesses booming for these caretakers true also speaking of you know having kids and working jobs
[00:45:15.800]  I feel like careers in itself is also another area where there's a difference generationally you know
[00:45:22.840]  kind of time back to the idea of like willingness to take a risk slash change things up this is where
[00:45:29.720]  I see myself being a little more willing to take a risk because for my parents they're very
[00:45:38.040]  focused on stability so they're like you should become a software engineer because I know you'll
[00:45:43.000]  be able to get a job there's a lot of those jobs in the Bay Area and it's a pretty well-paying
[00:45:49.000]  job as well so you know you'll be able to support yourself I was like no I'm gonna go major in
[00:45:53.960]  econ and they're like what does that even mean and I was like I don't know but I'll figure
[00:45:58.040]  out you know so I think definitely in that area and then also I've mentioned in the podcast before
[00:46:05.400]  where I had like a contractor job for a while so at first when I wanted to take that job my parents
[00:46:10.840]  were like no like this is a contractor job you won't have like held insurance to the level of you
[00:46:16.840]  know full-time employees and you won't have the same benefits also there's a time limit you know
[00:46:22.520]  you can be a contractor for a maximum of two years for this specific company and I was like no
[00:46:27.880]  I think it'll be okay like I think I want to take this risk because I could potentially get a
[00:46:33.080]  full-time job after and they're like I don't know like this seems too risky like I don't understand
[00:46:39.880]  but you know it ended up working out well but I could totally see that difference there they're
[00:46:45.800]  just like no what is this please no but I was like I think it'll be okay yeah I feel like
[00:46:52.280]  also parents are very into jobs where you can lock in and stay for like 10 plus years like I
[00:46:59.480]  feel like that generation really values like long-term stability sort of in the bay at least I know
[00:47:05.960]  for a while people were saying oh the best way to increase your salary is to job hop every one
[00:47:10.360]  to two years and I said that at the dinner table once my parents pretty early on in my career
[00:47:17.160]  and I was like yeah people nowadays have been saying you stay for a maximum of two years because
[00:47:21.560]  otherwise you get pigeoned hold into the salary that you were hired at and they were like but how
[00:47:27.400]  are you gonna learn and grow and I was like well I think when people hop jobs you kind of get
[00:47:33.400]  like a promotion and they were like I don't think that makes any sense like how would you learn
[00:47:37.240]  anything and I was like I'm like I don't know that's what all the young people are saying
[00:47:42.040]  and I feel like that's truly like the difference where back then like your company and your work
[00:47:49.000]  was a lot more serious and I'm not saying that I don't find my work serious but I think our generation
[00:47:55.480]  has kind of sensed or like realized that companies aren't like your friend right like HR isn't
[00:48:02.600]  your friend companies are prioritizing like shareholders above the employees a lot of the times
[00:48:10.440]  so then I don't think it's like personally offensive for employees to prioritize themselves
[00:48:15.560]  over the company but I think that's just totally different attitudes from our parents
[00:48:20.760]  all about that loyalty and stability
[00:48:24.440]  but yeah I feel like it's just so interesting once I learned about this concept of you know
[00:48:32.280]  people experiencing change look for stability and people experiencing stability look for change
[00:48:37.160]  and I feel like super applicable for that generational gap between us and our parents and super
[00:48:44.680]  relatable for just you know people who are going through different things and so after learning
[00:48:50.120]  about that concept I was mind blown and I really felt like I gained better perspective
[00:48:56.040]  it's really fun discussing how this concept plays in with our generational gap
[00:49:02.040]  and for our listeners out there if you have any thoughts on the different outlooks you have
[00:49:06.920]  compared to your parents or just people in different generations feel free to share with us
[00:49:11.880]  you can always find us on social media at eat your crust pod and we also have email eatyourcrustpod
[00:49:18.200]  and if you'd like to catch our other episodes then don't forget to follow us on Spotify
[00:49:23.160]  Apple Podcasts or wherever you get your podcasts you upload new episodes every Wednesday morning
[00:49:28.760]  and as always we'll put up a little Spotify Q&A so don't miss that thanks for listening
[00:49:33.400]  and don't forget to eat your crust
